thrar Pebblebrass
krork Mireblase
kruorrg Grimesmile
uc Crackblase
krykx Crackfist
zoruk Boomhook
khirryn Zestsmile
gnukuh Stainpinch
drarurr Drecktooth
vozziarg Goldteeth
yh Failwatch
mirg Stainface
vyc Muckbasher
rrez Gunkdeath
got Frothblast
kyryrr Bloodsmile
threxoh Farbeam
traaxen Snoremask
kraxer Goldgrinder
xurrox Muckfists
tryt Pebblegob
gnen Foamclaw
ekx Fizzleear
ex Groundtongue
xon Sleazetongue
krezzyzz Slabbrass
thruzzac Greaseblase
khurguoh Mucusstick
brutukk Scuzbarb
khouxur Fungusgall
krikx Fizzleeye
tez Siltfoot
viak Grappleknob
dorg Fizzlescrap
trouzz Murkfinger
trocak Scourgegall
tratir Slabtalon
granut Sludgesnag
khuten Bursthook
dourrgeirrg Muckdent
frodo Baggins
pippin Took
merry Brandybuck
samwise Gamgee
